'Depth(m)'	'AI_from_well_tie(m/s x g/cc)'	'Synthetic_from_well_tie'	'AI_from_well_tie_Smoothed(m/s x g/cc)'
0	1e30	1e30	1e30
0.15	1e30	1e30	1e30
0.3	1e30	1e30	1e30
0.45	1e30	1e30	1e30
0.6	1e30	1e30	1e30
0.75	1e30	1e30	1e30
0.9	1e30	1e30	1e30
1.05	1e30	1e30	1e30
1.2	1e30	1e30	1e30
1.35	1e30	1e30	1e30
1.5	1e30	1e30	1e30
1.65	1e30	1e30	1e30
1.8	1e30	1e30	1e30
1.95	1e30	1e30	1e30
2.1	1e30	1e30	1e30
2.25	1e30	1e30	1e30
2.4	1e30	1e30	1e30
2.55	1e30	1e30	1e30
2.7	1e30	1e30	1e30
2.85	1e30	1e30	1e30
3	1e30	1e30	1e30
3.15	1e30	1e30	1e30
3.3	1e30	1e30	1e30
3.45	1e30	1e30	1e30
3.6	1e30	1e30	1e30
3.75	1e30	1e30	1e30
3.9	1e30	1e30	1e30
4.05	1e30	1e30	1e30
4.2	1e30	1e30	1e30
4.35	1e30	1e30	1e30
4.5	1e30	1e30	1e30
4.65	1e30	1e30	1e30
4.8	1e30	1e30	1e30
4.95	1e30	1e30	1e30
5.1	1e30	1e30	1e30
5.25	1e30	1e30	1e30
5.4	1e30	1e30	1e30
5.55	1e30	1e30	1e30
5.7	1e30	1e30	1e30
5.85	1e30	1e30	1e30
6	1e30	1e30	1e30
6.15	1e30	1e30	1e30
6.3	1e30	1e30	1e30
6.45	1e30	1e30	1e30
6.6	1e30	1e30	1e30
6.75	1e30	1e30	1e30
6.9	1e30	1e30	1e30
7.05	1e30	1e30	1e30
7.2	1e30	1e30	1e30
7.35	1e30	1e30	1e30
7.5	1e30	1e30	1e30
7.65	1e30	1e30	1e30
7.8	1e30	1e30	1e30
7.95	1e30	1e30	1e30
8.1	1e30	1e30	1e30
8.25	1e30	1e30	1e30
8.4	1e30	1e30	1e30
8.55	1e30	1e30	1e30
8.7	1e30	1e30	1e30
8.85	1e30	1e30	1e30
9	1e30	1e30	1e30
9.15	1e30	1e30	1e30
9.3	1e30	1e30	1e30
9.45	1e30	1e30	1e30
9.6	1e30	1e30	1e30
9.75	1e30	1e30	1e30
9.9	1e30	1e30	1e30
10.05	1e30	1e30	1e30
10.2	1e30	1e30	1e30
10.35	1e30	1e30	1e30
10.5	1e30	1e30	1e30
10.65	1e30	1e30	1e30
10.8	1e30	1e30	1e30
10.95	1e30	1e30	1e30
11.1	1e30	1e30	1e30
11.25	1e30	1e30	1e30
11.4	1e30	1e30	1e30
11.55	1e30	1e30	1e30
11.7	1e30	1e30	1e30
11.85	1e30	1e30	1e30
12	1e30	1e30	1e30
12.15	1e30	1e30	1e30
12.3	1e30	1e30	1e30
12.45	1e30	1e30	1e30
12.6	1e30	1e30	1e30
